Date,State,Min Temp (K),Max Temp (K),Max Wind Speed (m/s),Afternoon Humidity,Afternoon Pressure,Morning Temp,Afternoon Temp,Total Precipitation
2008-02-01,NSW,292.65,295.54999999999995,,84.0,1017.4,293.84999999999997,294.04999999999995,NA
2008-02-02,NSW,292.65,298.75,,73.0,1016.4,295.54999999999995,297.95,NA
2008-02-03,NSW,294.75,297.65,,86.0,1015.6,296.65,296.15,NA
2008-02-04,NSW,293.34999999999997,295.95,,90.0,1011.8,294.54999999999995,294.04999999999995,NA
2008-02-05,NSW,292.84999999999997,298.84999999999997,,74.0,1004.8,295.65,298.65,NA
2008-02-06,NSW,293.34999999999997,300.34999999999997,,62.0,998.6,296.95,299.15,NA
2008-02-07,NSW,291.75,299.45,,80.0,1000.3,294.84999999999997,295.45,NA
2008-02-08,NSW,290.34999999999997,295.45,,61.0,1007.4,292.04999999999995,294.25,NA
2008-02-09,NSW,289.54999999999995,293.95,,91.0,1007.6,290.25,289.65,NA
2008-02-10,NSW,287.75,297.34999999999997,,53.0,1013.4,290.34999999999997,296.45,NA
2008-02-11,NSW,289.54999999999995,297.04999999999995,,53.0,1015.3,292.04999999999995,296.84999999999997,NA
2008-02-12,NSW,292.04999999999995,300.45,,67.0,1007.5,296.04999999999995,297.84999999999997,NA
2008-02-13,NSW,291.54999999999995,295.95,,70.0,1011.7,294.04999999999995,294.15,NA
2008-02-14,NSW,290.04999999999995,297.45,,51.0,1016.5,291.54999999999995,296.45,NA
2008-02-15,NSW,291.45,297.54999999999995,,56.0,1018.9,292.65,296.95,NA
2008-02-16,NSW,289.84999999999997,297.25,,52.0,1022.6,292.95,296.45,NA
2008-02-17,NSW,292.65,297.95,,62.0,1023.1,294.95,296.54999999999995,NA
2008-02-18,NSW,291.75,298.45,,59.0,1019.4,294.34999999999997,296.95,NA
2008-02-19,NSW,292.15,297.95,,65.0,1015.4,293.95,296.54999999999995,NA
2008-02-20,NSW,291.45,299.54999999999995,,60.0,1010.8,294.45,298.34999999999997,NA
2008-02-21,NSW,293.75,299.95,,62.0,1009.7,295.25,298.04999999999995,NA
2008-02-22,NSW,292.25,298.54999999999995,,66.0,1003.1,295.45,298.04999999999995,NA
2008-02-23,NSW,293.65,299.15,,45.0,1007.0,295.65,297.15,NA
2008-02-24,NSW,289.65,301.45,,40.0,1008.0,294.34999999999997,299.25,NA
2008-02-25,NSW,293.65,297.34999999999997,,54.0,1016.9,294.75,296.65,NA
2008-02-26,NSW,292.45,299.34999999999997,,65.0,1015.6,296.15,298.95,NA
2008-02-27,NSW,292.15,302.15,,52.0,1010.6,294.45,297.84999999999997,NA
2008-02-28,NSW,291.04999999999995,294.54999999999995,,88.0,1010.1,293.54999999999995,292.34999999999997,NA
2008-02-29,NSW,287.84999999999997,293.75,,51.0,1015.6,290.25,293.04999999999995,NA
2008-03-01,NSW,285.95,295.15,,46.0,1020.6,289.04999999999995,294.34999999999997,NA
2008-03-02,NSW,287.34999999999997,296.54999999999995,,54.0,1025.2,288.25,295.54999999999995,NA
2008-03-03,NSW,288.15,296.25,,57.0,1022.5,291.34999999999997,295.65,NA
2008-03-04,NSW,288.65,298.54999999999995,,57.0,1018.6,291.84999999999997,296.95,NA
2008-03-05,NSW,291.84999999999997,298.95,,64.0,1024.2,295.75,297.25,NA
2008-03-06,NSW,292.75,299.15,,65.0,1019.8,295.25,297.84999999999997,NA
2008-03-07,NSW,293.04999999999995,298.04999999999995,,75.0,1020.7,296.04999999999995,296.45,NA
2008-03-08,NSW,289.65,297.95,,71.0,1022.3,291.95,294.65,NA
2008-03-09,NSW,289.54999999999995,297.45,,64.0,1025.2,292.84999999999997,296.95,NA
2008-03-10,NSW,292.45,299.45,,50.0,1022.5,296.04999999999995,298.65,NA
2008-03-11,NSW,291.75,299.25,,58.0,1021.4,295.04999999999995,299.15,NA
2008-03-12,NSW,292.45,299.54999999999995,,60.0,1018.8,295.34999999999997,298.15,NA
2008-03-13,NSW,292.34999999999997,299.25,,69.0,1019.0,295.54999999999995,298.45,NA
2008-03-14,NSW,291.95,299.15,,62.0,1020.0,294.95,298.84999999999997,NA
2008-03-15,NSW,292.45,299.25,,64.0,1020.9,295.65,298.75,NA
2008-03-16,NSW,292.84999999999997,298.95,,69.0,1022.6,295.95,297.84999999999997,NA
2008-03-17,NSW,292.65,298.84999999999997,,60.0,1022.8,295.15,298.54999999999995,NA
2008-03-18,NSW,292.15,299.84999999999997,,58.0,1020.0,295.34999999999997,298.75,NA
2008-03-19,NSW,293.04999999999995,300.04999999999995,,60.0,1019.4,297.04999999999995,298.04999999999995,NA
2008-03-20,NSW,292.84999999999997,301.25,,58.0,1009.6,296.65,300.75,NA
2008-03-21,NSW,290.84999999999997,292.75,,80.0,1018.9,290.95,291.54999999999995,NA
2008-03-22,NSW,290.04999999999995,296.34999999999997,,60.0,1022.2,292.75,294.84999999999997,NA
2008-03-23,NSW,289.45,297.95,,57.0,1020.6,291.65,297.95,NA
2008-03-24,NSW,291.65,297.45,,72.0,1015.3,293.04999999999995,296.45,NA
2008-03-25,NSW,292.95,300.65,,58.0,1006.9,294.54999999999995,300.15,NA
2008-03-26,NSW,290.15,300.34999999999997,,38.0,1007.9,293.65,300.25,NA
2008-03-27,NSW,288.15,296.75,,42.0,1013.4,290.65,294.95,NA
2008-03-28,NSW,288.34999999999997,294.84999999999997,,51.0,1016.2,291.45,294.34999999999997,NA
2008-03-29,NSW,287.54999999999995,296.04999999999995,,65.0,1011.2,289.84999999999997,294.84999999999997,NA
2008-03-30,NSW,286.25,299.95,,22.0,1009.0,290.04999999999995,299.04999999999995,NA
2008-03-31,NSW,286.65,298.75,,31.0,1012.5,289.45,298.04999999999995,NA
2008-04-01,NSW,286.84999999999997,297.04999999999995,,54.0,1021.5,289.84999999999997,296.45,NA
2008-04-02,NSW,287.25,301.84999999999997,,34.0,1012.4,290.95,301.15,NA
2008-04-03,NSW,289.54999999999995,295.34999999999997,,21.0,1010.8,289.75,294.34999999999997,NA
2008-04-04,NSW,284.34999999999997,295.34999999999997,,37.0,1019.2,287.04999999999995,294.15,NA
2008-04-05,NSW,284.75,295.84999999999997,,50.0,1023.4,288.34999999999997,294.15,NA
2008-04-06,NSW,286.25,295.84999999999997,,55.0,1024.6,290.84999999999997,295.25,NA
2008-04-07,NSW,288.45,295.15,,70.0,1024.2,291.34999999999997,292.95,NA
2008-04-08,NSW,287.75,295.25,,75.0,1024.1,290.15,292.04999999999995,NA
2008-04-09,NSW,288.75,295.34999999999997,,62.0,1021.4,289.45,294.25,NA
2008-04-10,NSW,286.95,295.84999999999997,,60.0,1019.7,291.84999999999997,295.04999999999995,NA
2008-04-11,NSW,287.25,296.65,,61.0,1017.5,290.25,295.25,NA
2008-04-12,NSW,287.15,296.95,,59.0,1016.0,290.75,295.34999999999997,NA
2008-04-13,NSW,288.25,295.84999999999997,,75.0,1013.4,290.54999999999995,292.84999999999997,NA
2008-04-14,NSW,286.34999999999997,292.04999999999995,,64.0,1019.2,289.04999999999995,291.95,NA
2008-04-15,NSW,286.95,292.84999999999997,,71.0,1023.9,289.04999999999995,292.15,NA
2008-04-16,NSW,286.95,294.04999999999995,,85.0,1024.6,290.34999999999997,289.34999999999997,NA
2008-04-17,NSW,288.04999999999995,292.84999999999997,,72.0,1023.4,289.54999999999995,292.54999999999995,NA
2008-04-18,NSW,288.45,293.15,,75.0,1023.7,289.54999999999995,292.75,NA
2008-04-19,NSW,289.04999999999995,294.54999999999995,,61.0,1026.1,292.45,292.65,NA
2008-04-20,NSW,288.34999999999997,292.25,,75.0,1023.7,290.45,291.54999999999995,NA
2008-04-21,NSW,287.84999999999997,292.45,,70.0,1021.4,289.75,292.15,NA
2008-04-22,NSW,287.54999999999995,293.45,,55.0,1022.3,289.25,293.25,NA
2008-04-23,NSW,287.84999999999997,291.04999999999995,,89.0,1022.1,289.34999999999997,290.34999999999997,NA
2008-04-24,NSW,287.84999999999997,293.15,,80.0,1018.6,289.95,292.45,NA
2008-04-25,NSW,289.95,294.34999999999997,,69.0,1013.9,292.84999999999997,293.45,NA
2008-04-26,NSW,285.84999999999997,297.95,,38.0,1007.0,288.75,297.75,NA
2008-04-27,NSW,288.75,299.25,,28.0,999.1,293.45,298.84999999999997,NA
2008-04-28,NSW,285.04999999999995,289.95,,33.0,1008.6,286.84999999999997,288.75,NA
2008-04-29,NSW,281.75,291.54999999999995,,41.0,1019.8,284.84999999999997,290.95,NA
2008-04-30,NSW,281.54999999999995,292.75,,50.0,1021.3,284.75,291.25,NA
2008-05-01,NSW,284.75,291.34999999999997,,56.0,1016.7,286.54999999999995,291.25,NA
2008-05-02,NSW,283.95,295.34999999999997,,44.0,1015.3,287.65,294.84999999999997,NA
2008-05-03,NSW,284.04999999999995,292.75,,52.0,1016.9,287.25,291.75,NA
2008-05-04,NSW,282.54999999999995,293.45,,47.0,1018.3,285.54999999999995,292.54999999999995,NA
2008-05-05,NSW,282.54999999999995,295.45,,34.0,1015.2,285.54999999999995,295.34999999999997,NA
2008-05-06,NSW,284.95,296.75,,48.0,1013.3,286.84999999999997,294.25,NA
2008-05-07,NSW,286.15,296.15,,44.0,1011.8,289.65,295.15,NA
2008-05-08,NSW,284.15,294.95,,45.0,1017.5,287.15,293.95,NA
2008-05-09,NSW,284.15,295.04999999999995,,60.0,1020.2,287.45,293.75,NA
2008-05-10,NSW,285.75,294.45,,67.0,1019.6,288.34999999999997,292.45,NA
2008-05-11,NSW,287.15,292.54999999999995,,67.0,1021.2,289.95,291.84999999999997,NA
2008-05-12,NSW,285.54999999999995,292.65,,63.0,1020.5,288.04999999999995,292.34999999999997,NA
2008-05-13,NSW,286.34999999999997,292.84999999999997,,67.0,1021.7,288.15,291.25,NA
