,Time,AUD/USD,AUGDP,AUUN,AUIR,USAGDP,USAUN,USAIR
0,1/1/2018,0.7799,540342,5.5126582,1.5,20328.553,4,1.41
1,1/2/2018,0.7837,540342,5.5126582,1.5,20328.553,4,1.41
2,1/3/2018,0.7816,540342,5.5126582,1.5,20328.553,4,1.41
3,1/4/2018,0.7835,540342,5.5126582,1.5,20328.553,4,1.41
4,1/5/2018,0.7857,540342,5.5126582,1.5,20328.553,4,1.41
5,1/6/2018,0.786099868,540342,5.5126582,1.5,20328.553,4,1.41
6,1/7/2018,0.78593182,540342,5.5126582,1.5,20328.553,4,1.41
7,1/8/2018,0.7842,540342,5.5126582,1.5,20328.553,4,1.41
8,1/9/2018,0.7854,540342,5.5126582,1.5,20328.553,4,1.41
9,1/10/2018,0.7828,540342,5.5126582,1.5,20328.553,4,1.41
10,1/11/2018,0.7873,540342,5.5126582,1.5,20328.553,4,1.41
11,1/12/2018,0.7885,540342,5.5126582,1.5,20328.553,4,1.41
12,1/13/2018,0.791499924,540342,5.5126582,1.5,20328.553,4,1.41
13,1/14/2018,0.790824537,540342,5.5126582,1.5,20328.553,4,1.41
14,1/15/2018,0.7946,540342,5.5126582,1.5,20328.553,4,1.41
15,1/16/2018,0.7968,540342,5.5126582,1.5,20328.553,4,1.41
16,1/17/2018,0.7955,540342,5.5126582,1.5,20328.553,4,1.41
17,1/18/2018,0.7964,540342,5.5126582,1.5,20328.553,4,1.41
18,1/19/2018,0.8019,540342,5.5126582,1.5,20328.553,4,1.41
19,1/20/2018,0.799368818,540342,5.5126582,1.5,20328.553,4,1.41
20,1/21/2018,0.800167715,540342,5.5126582,1.5,20328.553,4,1.41
21,1/22/2018,0.799,540342,5.5126582,1.5,20328.553,4,1.41
22,1/23/2018,0.7989,540342,5.5126582,1.5,20328.553,4,1.41
23,1/24/2018,0.8016,540342,5.5126582,1.5,20328.553,4,1.41
24,1/25/2018,0.8094,540342,5.5126582,1.5,20328.553,4,1.41
25,1/26/2018,0.810949768,540342,5.5126582,1.5,20328.553,4,1.41
26,1/27/2018,0.810949768,540342,5.5126582,1.5,20328.553,4,1.41
27,1/28/2018,0.811659983,540342,5.5126582,1.5,20328.553,4,1.41
28,1/29/2018,0.8096,540342,5.5126582,1.5,20328.553,4,1.41
29,1/30/2018,0.807,540342,5.5126582,1.5,20328.553,4,1.41
30,1/31/2018,0.8073,540342,5.5126582,1.5,20328.553,4,1.41
31,2/1/2018,0.8044,540342,5.5719546,1.5,20328.553,4.1,1.42
32,2/2/2018,0.7997,540342,5.5719546,1.5,20328.553,4.1,1.42
33,2/3/2018,0.792895655,540342,5.5719546,1.5,20328.553,4.1,1.42
34,2/4/2018,0.790446349,540342,5.5719546,1.5,20328.553,4.1,1.42
35,2/5/2018,0.7929,540342,5.5719546,1.5,20328.553,4.1,1.42
36,2/6/2018,0.7844,540342,5.5719546,1.5,20328.553,4.1,1.42
37,2/7/2018,0.7883,540342,5.5719546,1.5,20328.553,4.1,1.42
38,2/8/2018,0.7812,540342,5.5719546,1.5,20328.553,4.1,1.42
39,2/9/2018,0.7779,540342,5.5719546,1.5,20328.553,4.1,1.42
